City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Tarko-Sale,RU,2022-09-12 19:42:59,64.9225,77.785,41.9,87,100,9.06
136,Lola,GN,2022-09-12 19:43:59,7.8,-8.5333,72.63,89,100,2.62
137,Puerto Ayora,EC,2022-09-12 19:44:00,-0.7393,-90.3518,76.96,93,85,5.99
138,Davila,PH,2022-09-12 19:44:00,18.4726,120.5763,79.56,83,42,12.48
139,Alofi,NU,2022-09-12 19:44:00,-19.0595,-169.9187,73.29,94,40,5.75
140,Sao Filipe,CV,2022-09-12 19:44:00,14.8961,-24.4956,79.84,78,25,15.77
141,Acapulco,MX,2022-09-12 19:44:01,16.8634,-99.8901,81.45,82,100,6.78
142,Srednekolymsk,RU,2022-09-12 19:44:01,67.45,153.6833,37.13,98,100,6.89
143,Macas,EC,2022-09-12 19:41:33,-2.3167,-78.1167,87.55,42,20,8.05
144,Magalia,US,2022-09-12 19:44:02,39.8121,-121.5783,82.11,35,93,1.99
145,Esna,EG,2022-09-12 19:44:02,25.2934,32.554,87.82,23,0,10.69
146,Pale,BA,2022-09-12 19:44:03,43.8161,18.5694,51.55,87,0,2.3
147,Jutai,BR,2022-09-12 19:44:03,-5.1833,-68.9,90.75,47,91,3.69
148,Ribeira Grande,PT,2022-09-12 19:44:03,38.5167,-28.7,72.0,94,75,3.44
149,Calatrava,PH,2022-09-12 19:44:04,10.595,123.4838,79.77,78,81,5.41
150,Mitsamiouli,KM,2022-09-12 19:44:04,-11.3847,43.2844,75.94,72,52,2.57
151,Tiksi,RU,2022-09-12 19:44:05,71.6872,128.8694,32.41,83,37,4.0
152,Tartagal,AR,2022-09-12 19:44:05,-22.5164,-63.8013,80.08,18,6,5.61
153,Flin Flon,CA,2022-09-12 19:44:06,54.7682,-101.865,62.44,36,20,17.27
154,Camacha,PT,2022-09-12 19:44:06,33.0833,-16.3333,71.02,78,40,14.97
155,Lokosovo,RU,2022-09-12 19:44:06,61.1333,74.8167,42.28,76,95,8.19
156,Guerrero Negro,MX,2022-09-12 19:44:07,27.9769,-114.0611,80.02,62,0,11.07
157,Tasiilaq,GL,2022-09-12 19:44:07,65.6145,-37.6368,59.16,54,0,7.23
158,Sola,VU,2022-09-12 19:44:07,-13.8833,167.55,79.16,78,22,18.77
159,Lianran,CN,2022-09-12 19:44:08,24.9227,102.485,59.54,93,99,1.72
160,Wetaskiwin,CA,2022-09-12 19:44:08,52.9668,-113.3687,66.67,30,100,8.55
161,Sorland,NO,2022-09-12 19:44:08,67.667,12.6934,51.66,81,100,15.77
162,Carnarvon,AU,2022-09-12 19:44:10,-24.8667,113.6333,68.52,75,1,17.72
163,Honningsvag,NO,2022-09-12 19:44:10,70.9821,25.9704,38.95,75,100,3.44
164,Machiques,VE,2022-09-12 19:44:10,10.0644,-72.545,86.65,71,100,7.31
165,Nanortalik,GL,2022-09-12 19:44:11,60.1432,-45.2371,44.1,91,28,10.2
166,Olafsvik,IS,2022-09-12 19:44:11,64.8945,-23.7142,49.89,88,100,14.32
167,Karlskrona,SE,2022-09-12 19:44:12,56.1616,15.5866,55.85,86,100,8.1
168,Lyubytino,RU,2022-09-12 19:44:12,58.8122,33.3922,48.25,85,98,4.16
169,Luwuk,ID,2022-09-12 19:44:12,-0.9516,122.7875,75.51,90,13,4.18
170,Airai,TL,2022-09-12 19:44:13,-8.9266,125.4092,57.06,68,95,2.77
171,Juarez,MX,2022-09-12 19:44:13,31.7333,-106.4833,88.29,39,20,5.01
172,Cam Ranh,VN,2022-09-12 19:44:13,11.9214,109.1591,75.16,88,20,3.44
173,Elbrus,RU,2022-09-12 19:44:14,43.2577,42.6443,52.79,73,9,7.87
174,Coahuayana,MX,2022-09-12 19:44:14,18.7333,-103.6833,81.97,82,100,5.12
175,Avarua,CK,2022-09-12 19:44:15,-21.2078,-159.775,77.05,73,75,14.97
176,Alice Springs,AU,2022-09-12 19:39:35,-23.7,133.8833,57.22,26,6,5.75
177,Tocopilla,CL,2022-09-12 19:41:53,-22.092,-70.1979,62.29,70,30,11.83
178,Georgetown,MY,2022-09-12 19:39:38,5.4112,100.3354,80.53,91,20,2.3
179,Puqi,CN,2022-09-12 19:44:15,29.7167,113.8833,70.11,70,4,1.63
180,Skjervoy,NO,2022-09-12 19:44:16,70.0311,20.9714,37.4,66,44,10.56
181,Taltal,CL,2022-09-12 19:45:16,-25.4,-70.4833,60.12,67,9,7.96
182,Conde,BR,2022-09-12 19:45:17,-7.2597,-34.9075,80.06,65,20,19.57
183,Boa Vista,BR,2022-09-12 19:43:04,2.8197,-60.6733,89.58,62,40,3.44
184,Nalut,LY,2022-09-12 19:45:17,30.3333,10.85,89.56,18,5,4.5
185,Sechura,PE,2022-09-12 19:45:17,-5.5569,-80.8222,75.56,54,49,17.47
186,Tilhar,IN,2022-09-12 19:45:18,27.9833,79.7333,78.58,83,6,11.21
187,Matay,EG,2022-09-12 19:45:18,28.419,30.7792,86.41,34,0,9.37
188,Yendi,GH,2022-09-12 19:45:18,9.4427,-0.0099,71.26,97,100,3.51
189,Aklavik,CA,2022-09-12 19:45:19,68.2191,-135.0107,42.8,100,75,2.3
190,Tatawin,TN,2022-09-12 19:45:19,32.9297,10.4518,80.2,57,0,9.69
191,Bathsheba,BB,2022-09-12 19:45:20,13.2167,-59.5167,90.21,70,75,13.8
192,Laguna,US,2022-09-12 19:45:20,38.421,-121.4238,88.14,41,0,4.61
193,Ventanas,EC,2022-09-12 19:45:20,-1.45,-79.4667,92.91,41,55,2.53
194,Charters Towers,AU,2022-09-12 19:45:21,-20.1,146.2667,62.02,84,0,6.04
195,Jaque,PA,2022-09-12 19:45:21,7.5175,-78.1703,80.44,80,83,4.61
196,Los Llanos De Aridane,ES,2022-09-12 19:45:21,28.6585,-17.9182,73.15,89,40,3.0
197,Tura,IN,2022-09-12 19:45:22,25.5198,90.2201,72.25,99,100,5.19
198,Spirovo,RU,2022-09-12 19:45:22,57.419,34.9766,46.51,84,98,5.35
199,Waounde,SN,2022-09-12 19:45:23,15.2637,-12.8682,85.28,70,38,8.5
200,Rupert,US,2022-09-12 19:45:23,42.6191,-113.6772,80.55,22,0,4.61
201,Padang,ID,2022-09-12 19:45:23,-0.9492,100.3543,76.69,88,100,2.51
202,Vao,NC,2022-09-12 19:45:24,-22.6667,167.4833,73.94,80,100,12.64
203,Barrow,US,2022-09-12 19:45:24,71.2906,-156.7887,35.62,93,100,21.85
204,Tual,ID,2022-09-12 19:45:25,-5.6667,132.75,81.34,82,99,14.47
205,Mahenge,TZ,2022-09-12 19:45:25,-8.6833,36.7167,63.5,63,25,2.53
206,Hofn,IS,2022-09-12 19:45:25,64.2539,-15.2082,51.82,87,100,0.0
207,Maniitsoq,GL,2022-09-12 19:45:26,65.4167,-52.9,41.76,96,100,19.15
